"","pos","last","first","numfirstlast","firstlast","index","player.id","woi.id","pC","pL","pR","pD","pG","DOB","Height","Weight","Shoots"
"1495","G","Filonenko","Andrei","[TSN] Andrei Filonenko","Andrei Filonenko",3434,1495,"filonan95",0,0,0,0,0,"1995-05-05","6-5","220","L"
"1496","C","Filppula","Ilari","[TSN] Ilari Filppula","Ilari Filppula",3435,1496,"filppil81",0,0,0,0,0,"1981-11-05","5-11","191","L"
"1497","CL","Filppula","Valtteri","[TSN] Valtteri Filppula","Valtteri Filppula",3436,1497,"filppva84",0,0,0,0,0,"1984-03-20","6-0","195","L"
"1498","D","Finger","Jeff","[TSN] Jeff Finger","Jeff Finger",3440,1498,"fingeje79",0,0,0,0,0,"1979-12-18","6-1","209","R"
"1499","G","Finley","Brian","[TSN] Brian Finley","Brian Finley",3443,1499,"finlebr81",0,0,0,0,0,"1981-07-03","6-3","205","R"
"1500","D","Finley","Jeff","[TSN] Jeff Finley","Jeff Finley",3446,1500,"finleje67",0,0,0,0,0,"1967-04-14","6-2","205","L"
"1501","D","Finley","Joe","[TSN] Joe Finley","Joe Finley",3448,1501,"finlejo87",0,0,0,0,0,"1987-06-29","6-8","245","L"
"1502","D","Finn","Matthew","[TSN] Matthew Finn","Matthew Finn",3451,1502,"finnxma94",0,0,0,0,0,"1994-02-24","6-0","199","L"
"1503","R","Fischer","Christian","[CAP] Christian Fischer","Christian Fischer",3453,1503,"fischch97",NA,NA,NA,NA,NA,"1997-04-15",NA,NA,NA
"1504","D","Fischer","David","[TSN] David Fischer","David Fischer",3454,1504,"fischda88",0,0,0,0,0,"1988-02-19","6-3","185","R"
"1505","D","Fischer","Jiri","[TSN] Jiri Fischer","Jiri Fischer",3455,1505,"fischji80",0,0,0,0,0,"1980-07-31","6-5","225","L"
"1506","L","Fischer","Patrick","[TSN] Patrick Fischer","Patrick Fischer",3458,1506,"fischpa75",0,0,0,0,0,"1975-09-06","5-11","194","L"
"1507","G","Fiset","Stephane","[TSN] Stephane Fiset","Stephane Fiset",3460,1507,"fisetst70",0,0,0,0,0,"1970-06-17","6-1","215","L"
"1508","R","Fishchenko","Ivan","[TSN] Ivan Fishchenko","Ivan Fishchenko",3461,1508,"fishciv95",0,0,0,0,0,"1995-07-19","6-0","175","L"
"1509","G","Fisher","Glenn","[TSN] Glenn Fisher","Glenn Fisher",3462,1509,"fishegl83",0,0,0,0,0,"1983-04-25","6-1","190","L"
"1510","C","Fisher","Mike","[TSN] Mike Fisher","Mike Fisher",3463,1510,"fishemi80",0,0,0,0,0,"1980-06-05","6-1","215","R"
"1511","D","Fistric","Mark","[TSN] Mark Fistric","Mark Fistric",3466,1511,"fistrma86",0,0,0,0,0,"1986-06-01","6-2","230","L"
"1512","C","Fitzgerald","Ryan","[TSN] Ryan Fitzgerald","Ryan Fitzgerald",3470,1512,"fitzgry94",0,0,0,0,0,"1994-10-19","5-10","170","R"
"1513","C","Fitzgerald","Tom","[TSN] Tom Fitzgerald","Tom Fitzgerald",3472,1513,"fitzgto68",0,0,0,0,0,"1968-08-28","6-0","190","R"
"1514","D","Fitzgerald","Zack","[TSN] Zack Fitzgerald","Zack Fitzgerald",3474,1514,"fitzgza85",0,0,0,0,0,"1985-06-16","6-2","205","L"
"1515","D","Fitzpatrick","Rory","[TSN] Rory Fitzpatrick","Rory Fitzpatrick",3476,1515,"fitzpro75",0,0,0,0,0,"1975-01-11","6-2","208","R"
"1516","L","Flaake","Jerome","[TSN] Jerome Flaake","Jerome Flaake",3479,1516,"flaakje90",0,0,0,0,0,"1990-03-02","6-2","187","L"
"1517","D","Flache","Paul","[TSN] Paul Flache","Paul Flache",3480,1517,"flachpa82",0,0,0,0,0,"1982-03-04","6-5","220","R"
"1518","G","Flaherty","Wade","[TSN] Wade Flaherty","Wade Flaherty",3481,1518,"flahewa68",0,0,0,0,0,"1968-01-11","6-0","171","L"
"1519","C","Flanagan","Kyle","[TSN] Kyle Flanagan","Kyle Flanagan",3485,1519,"flanaky88",0,0,0,0,0,"1988-12-30","5-9","170","L"
"1520","D","Flatt","Dalyn","[TSN] Dalyn Flatt","Dalyn Flatt",3486,1520,"flattda86",0,0,0,0,0,"1986-10-07","6-3","215","L"
"1521","D","Flatters","John","[TSN] John Flatters","John Flatters",3487,1521,"flattjo87",0,0,0,0,0,"1987-06-17","6-1","203","L"
"1522","LR","Fleischmann","Tomas","[TSN] Tomas Fleischmann","Tomas Fleischmann",3488,1522,"fleisto84",0,0,0,0,0,"1984-05-16","6-1","192","L"
"1523","D","Flemming","Brett","[TSN] Brett Flemming","Brett Flemming",3492,1523,"flemmbr91",0,0,0,0,0,"1991-02-26","5-11","189","R"
"1524","D","Fletcher","Justin","[TSN] Justin Fletcher","Justin Fletcher",3493,1524,"fletcju83",0,0,0,0,0,"1983-03-30","5-11","185","L"
"1525","D","Fleury","Haydn","[TSN] Haydn Fleury","Haydn Fleury",3494,1525,"fleurha96",0,0,0,0,0,"1996-07-08","6-3","203","L"
"1526","G","Fleury","Marc-Andre","[TSN] Marc-Andre Fleury","Marc-Andre Fleury",3496,1526,"fleurma84",0,0,0,0,0,"1984-11-28","6-2","180","L"
"1527","R","Fleury","Theoren","[TSN] Theoren Fleury","Theoren Fleury",3501,1527,"fleurth68",0,0,0,0,0,"1968-06-29","5-6","182","R"
"1528","C","Flick","Rob","[TSN] Rob Flick","Rob Flick",3503,1528,"flickro91",0,0,0,0,0,"1991-03-28","6-2","208","L"
"1529","L","Flinn","Ryan","[TSN] Ryan Flinn","Ryan Flinn",3505,1529,"flinnry80",0,0,0,0,0,"1980-04-20","6-5","248","L"
"1530","D","Flood","Mark","[TSN] Mark Flood","Mark Flood",3507,1530,"floodma84",0,0,0,0,0,"1984-09-29","6-1","195","R"
"1531","L","Florek","Justin","[TSN] Justin Florek","Justin Florek",3510,1531,"floreju90",0,0,0,0,0,"1990-05-18","6-4","199","L"
"1532","D","Florentino","Anthony","[TSN] Anthony Florentino","Anthony Florentino",3513,1532,"florean95",0,0,0,0,0,"1995-01-30","6-1","227","R"
"1533","C","Flynn","Brian","[TSN] Brian Flynn","Brian Flynn",3515,1533,"flynnbr88",0,0,0,0,0,"1988-07-26","6-1","180","R"
"1534","R","Flynn","Ryan","[TSN] Ryan Flynn","Ryan Flynn",3519,1534,"flynnry88",0,0,0,0,0,"1988-03-22","6-3","210","R"
"1535","D","Focht","Dan","[TSN] Dan Focht","Dan Focht",3520,1535,"fochtda77",0,0,0,0,0,"1977-12-31","6-6","234","L"
"1536","L","Foegele","Warren","[CAP] FOEGELE, WARREN","Warren Foegele",3523,1536,"foegewa96",0,0,0,0,0,"1996-04-01",NA,NA,NA
"1537","C","Fogarty","Steven","[TSN] Steven Fogarty","Steven Fogarty",3524,1537,"fogarst93",0,0,0,0,0,"1993-04-19","6-2","194","R"
"1538","L","Foley","Erik","[CAP] Erik Foley","Erik Foley",3526,1538,"foleyer97",NA,NA,NA,NA,NA,"1997-06-30",NA,NA,NA
"1539","LC","Foligno","Marcus","[TSN] Marcus Foligno","Marcus Foligno",3527,1539,"foligma91",0,0,0,0,0,"1991-08-10","6-3","223","L"
"1540","RL","Foligno","Nick","[TSN] Nick Foligno","Nick Foligno",3530,1540,"foligni87",0,0,0,0,0,"1987-10-31","6-0","210","L"
"1541","D","Folin","Christian","[TSN] Christian Folin","Christian Folin",3533,1541,"folinch91",0,0,0,0,0,"1991-02-09","6-3","215","R"
"1542","R","Fontaine","Justin","[TSN] Justin Fontaine","Justin Fontaine",3536,1542,"fontaju87",0,0,0,0,0,"1987-11-06","5-10","177","R"
"1543","D","Foote","Adam","[TSN] Adam Foote","Adam Foote",3539,1543,"footead71",0,0,0,0,0,"1971-07-10","6-2","220","R"
"1544","L","Foote","Jordan","[TSN] Jordan Foote","Jordan Foote",3541,1544,"footejo85",0,0,0,0,0,"1985-03-07","6-3","213","L"
"1545","L","Forbes","Colin","[TSN] Colin Forbes","Colin Forbes",3542,1545,"forbeco76",0,0,0,0,0,"1976-02-16","6-3","215","L"
"1546","D","Forbort","Derek","[TSN] Derek Forbort","Derek Forbort",3544,1546,"forbode92",0,0,0,0,0,"1992-03-04","6-5","198","L"
"1547","R","Ford","Matthew","[TSN] Matthew Ford","Matthew Ford",3546,1547,"fordxma84",0,0,0,0,0,"1984-10-09","6-1","207","R"
"1548","D","Ford","Scott","[TSN] Scott Ford","Scott Ford",3547,1548,"fordxsc79",0,0,0,0,0,"1979-12-24","6-3","225","R"
"1549","G","Ford","Todd","[TSN] Todd Ford","Todd Ford",3548,1549,"fordxto84",0,0,0,0,0,"1984-05-01","6-4","176","L"
"1550","C","Fornataro","Matt","[TSN] Matt Fornataro","Matt Fornataro",3550,1550,"fornama85",0,0,0,0,0,"1985-06-26","6-0","185","R"
"1551","L","Forney","Mike","[TSN] Mike Forney","Mike Forney",3551,1551,"fornemi88",0,0,0,0,0,"1988-05-14","6-2","200","R"
"1552","C","Forsbacka Karlsson","Jakob","[CAP] Jakob Forsbacka Karlsson","Jakob Forsbacka Karlsson",3552,1552,"forsbja96",NA,NA,NA,NA,NA,"1996-10-31",NA,NA,NA
"1553","G","Forsberg","Anton","[TSN] Anton Forsberg","Anton Forsberg",3553,1553,"forsban92",0,0,0,0,0,"1992-11-27","6-2","176","L"
"1554","LR","Forsberg","Filip","[TSN] Filip Forsberg","Filip Forsberg",3556,1554,"forsbfi94",0,0,0,0,0,"1994-08-13","6-1","186","R"
"1555","C","Forsberg","Peter","[TSN] Peter Forsberg","Peter Forsberg",3559,1555,"forsbpe73",0,0,0,0,0,"1973-07-20","6-0","205","L"
"1556","D","Forsling","Gustav","[CAP] FORSLING, GUSTAV","Gustav Forsling",3561,1556,"forslgu96",0,0,0,0,0,"1996-06-12",NA,NA,NA
"1557","D","Forster","Beat","[TSN] Beat Forster","Beat Forster",3562,1557,"forstbe83",0,0,0,0,0,"1983-02-02","6-1","224","L"
"1558","C","Fortier","Olivier","[TSN] Olivier Fortier","Olivier Fortier",3563,1558,"fortiol89",0,0,0,0,0,"1989-05-02","5-11","181","L"
"1559","D","Fortin","Jean-Francois","[TSN] Jean-Francois Fortin","Jean-Francois Fortin",3564,1559,"fortije79",0,0,0,0,0,"1979-03-15","6-2","205","R"
"1560","D","Fortunus","Maxime","[TSN] Maxime Fortunus","Maxime Fortunus",3566,1560,"fortuma83",0,0,0,0,0,"1983-07-28","5-11","202","R"
"1561","D","Foss","Jeffrey","[TSN] Jeffrey Foss","Jeffrey Foss",3569,1561,"fossxje88",0,0,0,0,0,"1988-12-12","6-2","206","R"
"1562","CL","Foster","Adrian","[TSN] Adrian Foster","Adrian Foster",3570,1562,"fostead82",0,0,0,0,0,"1982-01-15","6-0","200","L"
"1563","LC","Foster","Alex","[TSN] Alex Foster","Alex Foster",3571,1563,"fosteal84",0,0,0,0,0,"1984-08-26","6-0","200","L"
"1564","G","Foster","Brian","[TSN] Brian Foster","Brian Foster",3573,1564,"fostebr87",0,0,0,0,0,"1987-02-04","6-2","185","L"
"1565","D","Foster","Kurtis","[TSN] Kurtis Foster","Kurtis Foster",3575,1565,"fosteku81",0,0,0,0,0,"1981-11-24","6-5","225","R"
"1566","L","Foucault","Kris","[TSN] Kris Foucault","Kris Foucault",3582,1566,"foucakr90",0,0,0,0,0,"1990-12-12","6-1","202","L"
"1567","G","Fountain","Mike","[TSN] Mike Fountain","Mike Fountain",3584,1567,"fountmi72",0,0,0,0,0,"1972-01-26","6-1","180","L"
"1568","D","Fournier","Dillon","[TSN] Dillon Fournier","Dillon Fournier",3585,1568,"fourndi94",0,0,0,0,0,"1994-06-15","6-2","173","L"
"1569","D","Fournier","Gleason","[TSN] Gleason Fournier","Gleason Fournier",3587,1569,"fourngl91",0,0,0,0,0,"1991-09-08","6-0","191","L"
"1570","R","Fournier","Stefan","[TSN] Stefan Fournier","Stefan Fournier",3588,1570,"fournst92",0,0,0,0,0,"1992-04-30","6-3","205","R"
"1571","D","Fowler","Cam","[TSN] Cam Fowler","Cam Fowler",3590,1571,"fowleca91",0,0,0,0,0,"1991-12-05","6-1","207","L"
"1572","C","Fox","Dane","[TSN] Dane Fox","Dane Fox",3594,1572,"foxxxda93",0,0,0,0,0,"1993-10-13","6-0","185","L"
"1573","C","Fox","T.J.","[TSN] T.J. Fox","T.J. Fox",3596,1573,"foxxxtj84",0,0,0,0,0,"1984-06-11","6-1","200","L"
"1574","R","Foy","Matt","[TSN] Matt Foy","Matt Foy",3597,1574,"foyxxma83",0,0,0,0,0,"1983-05-18","6-2","228","R"
"1575","C","Francis","Ron","[TSN] Ron Francis","Ron Francis",3599,1575,"francro63",0,0,0,0,0,"1963-03-01","6-3","200","L"
"1576","D","Frank","Chris","[TSN] Chris Frank","Chris Frank",3601,1576,"frankch86",0,0,0,0,0,"1986-01-08","6-1","231","L"
"1577","L","Franklin","Clinston","[CAP] FRANKLIN, CLINSTON","Clinston Franklin",3602,1577,"frankcl94",0,0,0,0,0,"1994-03-17",NA,NA,NA
"1578","D","Franson","Cody","[TSN] Cody Franson","Cody Franson",3603,1578,"fransco87",0,0,0,0,0,"1987-08-08","6-5","213","R"
"1579","D","Fransoo","Jordan","[TSN] Jordan Fransoo","Jordan Fransoo",3608,1579,"fransjo93",0,0,0,0,0,"1993-04-25","6-2","178","R"
"1580","D","Fransson","Johan","[TSN] Johan Fransson","Johan Fransson",3609,1580,"fransjo85",0,0,0,0,0,"1985-02-18","6-1","192","L"
"1581","RL","Franzen","Johan","[TSN] Johan Franzen","Johan Franzen",3610,1581,"franzjo79",0,0,0,0,0,"1979-12-23","6-3","223","L"
"1582","C","Fraser","Colin","[TSN] Colin Fraser","Colin Fraser",3614,1582,"fraseco85",0,0,0,0,0,"1985-01-28","6-1","189","L"
"1583","D","Fraser","Jamie","[TSN] Jamie Fraser","Jamie Fraser",3620,1583,"fraseja85",0,0,0,0,0,"1985-11-17","6-0","198","L"
"1584","D","Fraser","Mark","[TSN] Mark Fraser","Mark Fraser",3622,1584,"frasema86",0,0,0,0,0,"1986-09-29","6-4","220","L"
"1585","LR","Fraser","Matt","[TSN] Matt Fraser","Matt Fraser",3629,1585,"frasema90",0,0,0,0,0,"1990-05-20","6-1","204","L"
"1586","RL","Frattin","Matt","[TSN] Matt Frattin","Matt Frattin",3633,1586,"frattma88",0,0,0,0,0,"1988-01-03","6-0","205","R"
"1587","G","Frazee","Jeff","[TSN] Jeff Frazee","Jeff Frazee",3638,1587,"frazeje87",0,0,0,0,0,"1987-05-13","6-0","195","L"
"1588","D","Frechette","Martin","[TSN] Martin Frechette","Martin Frechette",3640,1588,"frechma86",0,0,0,0,0,"1986-07-11","6-0","200","R"
"1589","D","Frechette","Maxime","[TSN] Maxime Frechette","Maxime Frechette",3641,1589,"frechma88",0,0,0,0,0,"1988-05-09","6-5","200","R"
"1590","D","Fredheim","Kris","[TSN] Kris Fredheim","Kris Fredheim",3642,1590,"fredhkr87",0,0,0,0,0,"1987-02-23","6-2","170","R"
"1591","R","Fredriksson","David","[TSN] David Fredriksson","David Fredriksson",3644,1591,"fredrda85",0,0,0,0,0,"1985-10-04","6-2","214","L"
"1592","CR","Fretter","Colton","[TSN] Colton Fretter","Colton Fretter",3645,1592,"frettco82",0,0,0,0,0,"1982-03-12","5-10","187","R"
"1593","L","Friberg","Max","[TSN] Max Friberg","Max Friberg",3646,1593,"fribema92",0,0,0,0,0,"1992-11-20","5-10","197","R"
"1594","D","Friedman","Mark","[CAP] FRIEDMAN, MARK","Mark Friedman",3649,1594,"friedma95",0,0,0,0,0,"1995-12-25",NA,NA,NA
"1595","C","Friesen","Alex","[TSN] Alex Friesen","Alex Friesen",3650,1595,"friesal91",0,0,0,0,0,"1991-01-30","5-9","186","L"
"1596","L","Friesen","Jeff","[TSN] Jeff Friesen","Jeff Friesen",3652,1596,"friesje76",0,0,0,0,0,"1976-08-05","6-1","205","L"
"1597","C","Frischmon","Trevor","[TSN] Trevor Frischmon","Trevor Frischmon",3656,1597,"frisctr81",0,0,0,0,0,"1981-08-05","6-0","202","L"
"1598","R","Fritsch","Andrew","[TSN] Andrew Fritsch","Andrew Fritsch",3658,1598,"fritsan93",0,0,0,0,0,"1993-03-24","6-0","176","R"
"1599","D","Fritsch","Jamie","[TSN] Jamie Fritsch","Jamie Fritsch",3659,1599,"fritsja85",0,0,0,0,0,"1985-02-25","6-2","195","L"
"1600","RC","Fritsche","Dan","[TSN] Dan Fritsche","Dan Fritsche",3661,1600,"fritsda85",0,0,0,0,0,"1985-07-13","6-1","204","R"
"1601","L","Fritsche","Tom","[TSN] Tom Fritsche","Tom Fritsche",3664,1601,"fritsto86",0,0,0,0,0,"1986-09-30","5-11","183","L"
"1602","D","Fritshaw","Luke","[TSN] Luke Fritshaw","Luke Fritshaw",3665,1602,"fritslu84",0,0,0,0,0,"1984-07-04","6-2","204","L"
"1603","L","Fritz","Mitchell","[TSN] Mitch Fritz","Mitchell Fritz",3666,1603,"fritzmi80",0,0,0,0,0,"1980-11-24","6-7","242","L"
"1604","R","Frk","Martin","[TSN] Martin Frk","Martin Frk",3668,1604,"frkxxma93",0,0,0,0,0,"1993-10-05","6-0","193","R"
"1605","L","Froden","Jesper","[TSN] Jesper Froden","Jesper Froden",3670,1605,"frodeje94",0,0,0,0,0,"1994-09-21","5-10","172","L"
"1606","C","Froese","Byron","[TSN] Byron Froese","Byron Froese",3671,1606,"froesby91",0,0,0,0,0,"1991-03-12","6-0","190","R"
"1607","D","Frogren","Jonas","[TSN] Jonas Frogren","Jonas Frogren",3672,1607,"frogrjo80",0,0,0,0,0,"1980-08-28","6-1","189","L"
"1608","R","Frolik","Michael","[TSN] Michael Frolik","Michael Frolik",3674,1608,"frolimi88",0,0,0,0,0,"1988-02-17","6-1","198","L"
"1609","LR","Frolov","Alex","[TSN] Alex Frolov","Alex Frolov",3677,1609,"froloal82",0,0,0,0,0,"1982-06-19","6-2","210","R"
"1610","G","Fucale","Zachary","[TSN] Zachary Fucale","Zachary Fucale",3680,1610,"fucalza95",0,0,0,0,0,"1995-05-28","6-1","181","L"
"1611","C","Fuchs","Jason","[TSN] Jason Fuchs","Jason Fuchs",3682,1611,"fuchsja95",0,0,0,0,0,"1995-09-14","5-9","155","L"
"1612","L","Fugere","Nick","[TSN] Nick Fugere","Nick Fugere",3683,1612,"fugerni85",0,0,0,0,0,"1985-09-20","6-2","238","L"
"1613","G","Fukufuji","Yutaka","[TSN] Yutaka Fukufuji","Yutaka Fukufuji",3684,1613,"fukufyu82",0,0,0,0,0,"1982-09-17","6-1","180","L"
"1614","R","Fuller","Evan","[TSN] Evan Fuller","Evan Fuller",3686,1614,"fulleev88",0,0,0,0,0,"1988-06-01","6-2","196","R"
"1615","C","Fulton","Jordan","[TSN] Jordan Fulton","Jordan Fulton",3687,1615,"fultojo87",0,0,0,0,0,"1987-09-12","6-1","191","L"
"1616","D","Funk","Michael","[TSN] Michael Funk","Michael Funk",3688,1616,"funkxmi86",0,0,0,0,0,"1986-08-15","6-4","199","L"
"1617","D","Furrer","Philippe","[TSN] Philippe Furrer","Philippe Furrer",3690,1617,"furreph85",0,0,0,0,0,"1985-06-16","6-1","198","L"
"1618","LR","Fussey","Owen","[TSN] Owen Fussey","Owen Fussey",3691,1618,"fusseow83",0,0,0,0,0,"1983-04-02","6-0","195","L"
"1619","LR","Gaborik","Marian","[TSN] Marian Gaborik","Marian Gaborik",3693,1619,"gaborma82",0,0,0,0,0,"1982-02-14","6-1","204","L"
"1620","R","Gabriel","Kurtis","[TSN] Kurtis Gabriel","Kurtis Gabriel",3697,1620,"gabriku93",0,0,0,0,0,"1993-04-20","6-1","189","R"
"1621","L","Gabriel","Oliver","[TSN] Oliver Gabriel","Oliver Gabriel",3699,1621,"gabriol91",0,0,0,0,0,"1991-05-13","6-2","206","L"
"1622","L","Gabrielle","Jesse","[CAP] Jesse Gabrielle","Jesse Gabrielle",3700,1622,"gabrije97",NA,NA,NA,NA,NA,"1997-06-17",NA,NA,NA
"1623","R","Gaede","Max","[TSN] Max Gaede","Max Gaede",3701,1623,"gaedema92",0,0,0,0,0,"1992-03-27","6-2","205","R"
"1624","R","Gagne","Gabriel","[CAP] Gabriel Gagne","Gabriel Gagne",3703,1624,"gagnega96",NA,NA,NA,NA,NA,"1996-11-11",NA,NA,NA
"1625","D","Gagne","Kevin","[TSN] Kevin Gagne","Kevin Gagne",3704,1625,"gagneke92",0,0,0,0,0,"1992-04-14","5-8","176","L"
"1626","RL","Gagne","Simon","[TSN] Simon Gagne","Simon Gagne",3706,1626,"gagnesi80",0,0,0,0,0,"1980-02-29","6-1","195","L"
"1627","C","Gagner","Sam","[TSN] Sam Gagner","Sam Gagner",3709,1627,"gagnesa89",0,0,0,0,0,"1989-08-10","5-11","202","R"
"1628","C","Gagnon","Aaron","[TSN] Aaron Gagnon","Aaron Gagnon",3713,1628,"gagnoaa86",0,0,0,0,0,"1986-04-24","5-11","186","R"
"1629","L","Gainey","Steve","[TSN] Steve Gainey","Steve Gainey",3716,1629,"gainest79",0,0,0,0,0,"1979-01-26","6-1","192","L"
"1630","D","Galanov","Maxim","[TSN] Maxim Galanov","Maxim Galanov",3719,1630,"galanma74",0,0,0,0,0,"1974-03-13","6-1","205","L"
"1631","LC","Galchenyuk","Alex","[TSN] Alex Galchenyuk","Alex Galchenyuk",3720,1631,"galchal94",0,0,0,0,0,"1994-02-12","6-1","203","L"
"1632","C","Galeyev","Ruzal","[TSN] Ruzal Galeyev","Ruzal Galeyev",3723,1632,"galeyru95",0,0,0,0,0,"1995-02-08","6-0","192","L"
"1633","C","Galiardi","T.J.","[TSN] T.J. Galiardi","T.J. Galiardi",3724,1633,"galiatj88",0,0,0,0,0,"1988-04-22","6-2","195","L"
"1634","R","Galiev","Stanislav","[TSN] Stanislav Galiev","Stanislav Galiev",3731,1634,"galiest92",0,0,0,0,0,"1992-01-17","6-2","187","R"
"1635","L","Galimov","Emil","[TSN] Emil Galimov","Emil Galimov",3734,1635,"galimem92",0,0,0,0,0,"1992-05-09","6-1","169","L"
"1636","D","Gallacher","Benjamin","[TSN] Benjamin Gallacher","Benjamin Gallacher",3736,1636,"gallabe92",0,0,0,0,0,"1992-09-11","5-11","183","L"
"1637","R","Gallagher","Brendan","[TSN] Brendan Gallagher","Brendan Gallagher",3738,1637,"gallabr92",0,0,0,0,0,"1992-05-06","5-9","180","R"
"1638","L","Gallant","Brett","[TSN] Brett Gallant","Brett Gallant",3742,1638,"gallabr88",0,0,0,0,0,"1988-12-28","6-0","190","L"
"1639","C","Gamache","Simon","[TSN] Simon Gamache","Simon Gamache",3745,1639,"gamacsi81",0,0,0,0,0,"1981-01-03","5-10","186","L"
"1640","D","Ganly","Tyler","[TSN] Tyler Ganly","Tyler Ganly",3749,1640,"ganlyty95",0,0,0,0,0,"1995-03-22","6-1","201","R"
"1641","RL","Garbutt","Ryan","[TSN] Ryan Garbutt","Ryan Garbutt",3751,1641,"garbury85",0,0,0,0,0,"1985-08-12","6-0","190","R"
"1642","RC","Gardiner","Bruce","[TSN] Bruce Gardiner","Bruce Gardiner",3755,1642,"gardibr72",0,0,0,0,0,"1972-02-11","6-1","193","R"
"1643","D","Gardiner","Jake","[TSN] Jake Gardiner","Jake Gardiner",3756,1643,"gardija90",0,0,0,0,0,"1990-07-04","6-2","184","L"
"1644","C","Gardiner","Max","[TSN] Max Gardiner","Max Gardiner",3759,1644,"gardima92",0,0,0,0,0,"1992-05-07","6-3","187","L"
"1645","R","Garland","Conor","[CAP] Conor Garland","Conor Garland",3761,1645,"garlaco96",NA,NA,NA,NA,NA,"1996-03-11",NA,NA,NA
"1646","C","Garlent","Hunter","[TSN] Hunter Garlent","Hunter Garlent",3762,1646,"garlehu95",0,0,0,0,0,"1995-02-04","5-8","164","R"
"1647","CL","Garlock","Ryan","[TSN] Ryan Garlock","Ryan Garlock",3763,1647,"garlory86",0,0,0,0,0,"1986-04-24","6-0","202","L"
"1648","G","Garner","Tyrone","[TSN] Tyrone Garner","Tyrone Garner",3764,1648,"garnety78",0,0,0,0,0,"1978-07-27","6-1","200","L"
"1649","G","Garnett","Michael","[TSN] Michael Garnett","Michael Garnett",3765,1649,"garnemi82",0,0,0,0,0,"1982-11-25","6-1","205","L"
"1650","G","Garon","Mathieu","[TSN] Mathieu Garon","Mathieu Garon",3767,1650,"garonma78",0,0,0,0,0,"1978-01-09","6-1","198","R"
"1651","D","Garrison","Jason","[TSN] Jason Garrison","Jason Garrison",3772,1651,"garrija84",0,0,0,0,0,"1984-11-13","6-2","218","L"
"1652","C","Gates","Brent","[CAP] Brent Gates","Brent Gates",3776,1652,"gatesbr97",NA,NA,NA,NA,NA,"1997-08-12",NA,NA,NA
"1653","C","Gaudet","Tyler","[TSN] Tyler Gaudet","Tyler Gaudet",3777,1653,"gaudety93",0,0,0,0,0,"1993-04-04","6-3","210","L"
"1654","C","Gaudette","Adam","[CAP] Adam Gaudette","Adam Gaudette",3780,1654,"gaudead96",NA,NA,NA,NA,NA,"1996-10-03",NA,NA,NA
"1655","L","Gaudreau","Johnny","[TSN] Johnny Gaudreau","Johnny Gaudreau",3781,1655,"gaudrjo93",0,0,0,0,0,"1993-08-13","5-9","150","L"
"1656","D","Gaulton","Mitch","[TSN] Mitch Gaulton","Mitch Gaulton",3785,1656,"gaultmi90",0,0,0,0,0,"1990-04-25","6-0","207","L"
"1657","C","Gaunce","Brendan","[TSN] Brendan Gaunce","Brendan Gaunce",3786,1657,"gauncbr94",0,0,0,0,0,"1994-03-25","6-2","207","L"
"1658","D","Gaunce","Cameron","[TSN] Cameron Gaunce","Cameron Gaunce",3788,1658,"gauncca90",0,0,0,0,0,"1990-03-19","6-1","210","L"
"1659","C","Gaustad","Paul","[TSN] Paul Gaustad","Paul Gaustad",3792,1659,"gaustpa82",0,0,0,0,0,"1982-02-03","6-5","223","L"
"1660","R","Gauthier","Danick","[TSN] Danick Gauthier","Danick Gauthier",3796,1660,"gauthda91",0,0,0,0,0,"1991-10-24","6-2","200","L"
"1661","D","Gauthier","Denis","[TSN] Denis Gauthier","Denis Gauthier",3798,1661,"gauthde76",0,0,0,0,0,"1976-10-01","6-2","220","L"
"1662","C","Gauthier","Frederik","[TSN] Frederik Gauthier","Frederik Gauthier",3802,1662,"gauthfr95",0,0,0,0,0,"1995-04-26","6-5","214","L"
"1663","CL","Gauthier","Gabe","[TSN] Gabe Gauthier","Gabe Gauthier",3804,1663,"gauthga84",0,0,0,0,0,"1984-01-20","5-8","199","L"
"1664","D","Gauthier","Mike","[TSN] Mike Gauthier","Mike Gauthier",3807,1664,"gauthmi87",0,0,0,0,0,"1987-03-26","6-4","185","R"
"1665","D","Gauthier-Leduc","Jerome","[TSN] Jerome Gauthier-Leduc","Jerome Gauthier-Leduc",3808,1665,"gauthje92",0,0,0,0,0,"1992-07-30","6-2","196","R"
"1666","C","Gavey","Aaron","[TSN] Aaron Gavey","Aaron Gavey",3810,1666,"gaveyaa74",0,0,0,0,0,"1974-02-22","6-2","189","L"
"1667","D","Gavrikov","Vladislav","[CAP] Vladislav Gavrikov","Vladislav Gavrikov",3813,1667,"gavrivl95",NA,NA,NA,NA,NA,"1995-11-21",NA,NA,NA
"1668","CL","Gavrus","Artur","[TSN] Artur Gavrus","Artur Gavrus",3814,1668,"gavruar94",0,0,0,0,0,"1994-01-03","5-10","175","L"
"1669","C","Gawdin","Glenn","[CAP] Glenn Gawdin","Glenn Gawdin",3816,1669,"gawdigl97",NA,NA,NA,NA,NA,"1997-03-25",NA,NA,NA
"1670","D","Gawryletz","Travis","[TSN] Travis Gawryletz","Travis Gawryletz",3817,1670,"gawrytr85",0,0,0,0,0,"1985-11-02","6-2","190","R"
