"","pos","last","first","numfirstlast","firstlast","index","player.id","woi.id","pC","pL","pR","pD","pG","DOB","Height","Weight","Shoots"
"4361","D","GUDBRANSON","ERIK","[TSN] Erik Gudbranson","ERIK GUDBRANSON",4274,1862,"gudbrer92",0,0,0,0,0,"1992-01-07","6-5","216","R"
"4362","D","GUDBRANSON","ERIK","[CAP] GUDBRANSON, ERIK","ERIK GUDBRANSON",4275,1862,"gudbrer92",0,0,0,0,0,"1992-01-07","6-5","216","R"
"4363","D","GUDBRANSON","ERIK","44 ERIK GUDBRANSON","ERIK GUDBRANSON",4276,1862,"gudbrer92",0,0,0,442,0,"1992-01-07","6-5","216","R"
"4364","G","GUDLEVSKIS","KRISTERS","[TSN] Kristers Gudlevskis","KRISTERS GUDLEVSKIS",4277,1863,"gudlekr92",0,0,0,0,0,"1992-07-31","6-4","190","L"
"4365","G","GUDLEVSKIS","KRISTERS","[CAP] GUDLEVSKIS, KRISTERS","KRISTERS GUDLEVSKIS",4278,1863,"gudlekr92",0,0,0,0,0,"1992-07-31","6-4","190","L"
"4366","G","GUDLEVSKIS","KRISTERS","37 KRISTERS GUDLEVSKIS","KRISTERS GUDLEVSKIS",4279,1863,"gudlekr92",0,0,0,0,22,"1992-07-31","6-4","190","L"
"4367","G","GUDLEVSKIS","KRISTERS","50 KRISTERS GUDLEVSKIS","KRISTERS GUDLEVSKIS",4280,1863,"gudlekr92",0,0,0,0,14,"1992-07-31","6-4","190","L"
"4368","CR","GUENETTE","FRANCOIS-PIERRE","[TSN] Francois-Pierre Guenette","FRANCOIS-PIERRE GUENETTE",4281,1864,"guenefr84",0,0,0,0,0,"1984-01-18","6-0","184","R"
"4369","D","GUENIN","NATHAN","[TSN] Nate Guenin","NATHAN GUENIN",4282,1865,"guenina82",0,0,0,0,0,"1982-12-10","6-3","207","R"
"4370","D","GUENIN","NATHAN","[CAP] GUENIN, NATHAN","NATHAN GUENIN",4283,1865,"guenina82",0,0,0,0,0,"1982-12-10","6-3","207","R"
"4371","D","GUENIN","NATHAN","65 NATHAN GUENIN","NATHAN GUENIN",4284,1865,"guenina82",0,0,0,9,0,"1982-12-10","6-3","207","R"
"4372","D","GUENIN","NATHAN","29 NATHAN GUENIN","NATHAN GUENIN",4285,1865,"guenina82",0,0,0,3,0,"1982-12-10","6-3","207","R"
"4373","D","GUENIN","NATHAN","2 NATHAN GUENIN","NATHAN GUENIN",4286,1865,"guenina82",0,0,0,2,0,"1982-12-10","6-3","207","R"
"4374","D","GUENIN","NATHAN","2 NATE GUENIN","NATHAN GUENIN",4287,1865,"guenina82",0,0,0,3,0,"1982-12-10","6-3","207","R"
"4375","D","GUENIN","NATHAN","34 NATE GUENIN","NATHAN GUENIN",4288,1865,"guenina82",0,0,0,15,0,"1982-12-10","6-3","207","R"
"4376","D","GUENIN","NATHAN","5 NATE GUENIN","NATHAN GUENIN",4289,1865,"guenina82",0,0,0,331,0,"1982-12-10","6-3","207","R"
"4377","LC","GUENTZEL","JAKE","[TSN] Jake Guentzel","JAKE GUENTZEL",4290,1866,"guentja94",0,0,0,0,0,"1994-10-06","5-10","157","L"
"4378","LC","GUENTZEL","JAKE","[CAP] GUENTZEL, JAKE","JAKE GUENTZEL",4291,1866,"guentja94",0,0,0,0,0,"1994-10-06","5-10","157","L"
"4379","R","GUERIN","BILL","[TSN] Bill Guerin","BILL GUERIN",4292,1867,"gueribi70",0,0,0,0,0,"1970-11-09","6-2","220","R"
"4380","R","GUERIN","BILL","13 BILL GUERIN","BILL GUERIN",4293,1867,"gueribi70",0,0,576,0,0,"1970-11-09","6-2","220","R"
"4381","R","GUERIN","MARTIN","[TSN] Martin Guerin","MARTIN GUERIN",4294,1868,"guerima83",0,0,0,0,0,"1983-05-25","6-1","190","R"
"4382","C","GUERTLER","GABE","[TSN] Gabe Guertler","GABE GUERTLER",4295,1869,"guertga95",0,0,0,0,0,"1995-05-03","5-9","175","L"
"4383","R","GUGGISBERG","PETER","[TSN] Peter Guggisberg","PETER GUGGISBERG",4296,1870,"guggipe85",0,0,0,0,0,"1985-01-20","5-11","183","R"
"4384","R","GUGGISBERG","PETER","[CAP] GUGGISBERG, PETER","PETER GUGGISBERG",4297,1870,"guggipe85",0,0,0,0,0,"1985-01-20","5-11","183","R"
"4385","D","Guhle","Brendan","[CAP] Brendan Guhle","Brendan Guhle",4298,1871,"guhlebr97",NA,NA,NA,NA,NA,"1997-07-29",NA,NA,NA
"4386","D","GUILTINAN","KEVIN","[TSN] Kevin Guiltinan","KEVIN GUILTINAN",4299,1872,"guiltke95",0,0,0,0,0,"1995-04-25","6-3","192","L"
"4387","G","GUINDON","LOUIS-PHILIP","[TSN] Louis-Philip Guindon","LOUIS-PHILIP GUINDON",4300,1873,"guindlo95",0,0,0,0,0,"1995-04-21","6-1","181","L"
"4388","G","GUINDON","LOUIS-PHILIP","[TSN] Louis-Philipe Guindon","LOUIS-PHILIP GUINDON",4301,1873,"guindlo95",0,0,0,0,0,"1995-04-21","6-1","181","L"
"4389","C","GUITE","BEN","[TSN] Ben Guite","BEN GUITE",4302,1874,"guitebe78",0,0,0,0,0,"1978-07-17","6-1","210","R"
"4390","C","GUITE","BEN","50 BEN GUITE","BEN GUITE",4303,1874,"guitebe78",0,0,1,0,0,"1978-07-17","6-1","210","R"
"4391","C","GUITE","BEN","28 BEN GUITE","BEN GUITE",4304,1874,"guitebe78",0,0,178,0,0,"1978-07-17","6-1","210","R"
"4392","C","GUITE","BEN","24 BEN GUITE","BEN GUITE",4305,1874,"guitebe78",0,0,6,0,0,"1978-07-17","6-1","210","R"
"4393","D","GUNNARSSON","CARL","[TSN] Carl Gunnarsson","CARL GUNNARSSON",4306,1875,"gunnaca86",0,0,0,0,0,"1986-11-09","6-2","196","L"
"4394","D","GUNNARSSON","CARL","[CAP] GUNNARSSON, CARL","CARL GUNNARSSON",4307,1875,"gunnaca86",0,0,0,0,0,"1986-11-09","6-2","196","L"
"4395","D","GUNNARSSON","CARL","36 CARL GUNNARSSON","CARL GUNNARSSON",4308,1875,"gunnaca86",0,0,0,391,0,"1986-11-09","6-2","196","L"
"4396","D","GUNNARSSON","CARL","4 CARL GUNNARSSON","CARL GUNNARSSON",4309,1875,"gunnaca86",0,0,0,180,0,"1986-11-09","6-2","196","L"
"4397","D","GUNNARSSON","DANIEL","[TSN] Daniel Gunnarsson","DANIEL GUNNARSSON",4310,1876,"gunnada92",0,0,0,0,0,"1992-04-15","6-5","201","R"
"4398","L","GUNNARSSON","FABIAN","[TSN] Fabian Gunnarsson","FABIAN GUNNARSSON",4311,1877,"gunnafa95",0,0,0,0,0,"1995-05-23","5-9","188","L"
"4399","RL","GUOLLA","STEPHEN","[TSN] Stephen Guolla","STEPHEN GUOLLA",4312,1878,"guollst73",0,0,0,0,0,"1973-03-15","6-0","190","L"
"4400","RL","GUOLLA","STEPHEN","8 STEPHEN GUOLLA","STEPHEN GUOLLA",4313,1878,"guollst73",8,0,0,0,0,"1973-03-15","6-0","190","L"
"4401","L","GUPTILL","ALEXANDER","[TSN] Alexander Guptill","ALEXANDER GUPTILL",4314,1879,"guptial92",0,0,0,0,0,"1992-03-05","6-3","175","L"
"4402","L","GUPTILL","ALEXANDER","[CAP] GUPTILL, ALEXANDER","ALEXANDER GUPTILL",4315,1879,"guptial92",0,0,0,0,0,"1992-03-05","6-3","175","L"
"4403","D","GUREYEV","EVGENI","[TSN] Evgeni Gureyev","EVGENI GUREYEV",4316,1880,"gureyev95",0,0,0,0,0,"1995-01-24","6-2","194","L"
"4404","R","Gurianov","Denis","[CAP] Denis Gurianov","Denis Gurianov",4317,1881,"guriade97",NA,NA,NA,NA,NA,"1997-06-07",NA,NA,NA
"4405","L","GUSEV","NIKITA","[TSN] Nikita Gusev","NIKITA GUSEV",4318,1882,"gusevni92",0,0,0,0,0,"1992-07-08","5-9","163","R"
"4406","L","GUSEV","NIKITA","[CAP] GUSEV, NIKITA","NIKITA GUSEV",4319,1882,"gusevni92",0,0,0,0,0,"1992-07-08","5-9","163","R"
"4407","D","GUSEV","SERGEY","[TSN] Sergey Gusev","SERGEY GUSEV",4320,1883,"gusevse75",0,0,0,0,0,"1975-07-31","6-1","205","L"
"4408","D","GUSEV","VLADIMIR","[TSN] Vladimir Gusev","VLADIMIR GUSEV",4321,1884,"gusevvl82",0,0,0,0,0,"1982-11-24","6-2","205","L"
"4409","D","GUSKOV","ALEXANDER","[TSN] Alexander Guskov","ALEXANDER GUSKOV",4322,1885,"guskoal76",0,0,0,0,0,"1976-11-26","6-2","202","L"
"4410","G","GUSTAFSON","DEREK","[TSN] Derek Gustafson","DEREK GUSTAFSON",4323,1886,"gustade79",0,0,0,0,0,"1979-06-21","5-11","210","L"
"4411","D","Gustafsson","Erik","[CAP] Erik Gustafsson","Erik Gustafsson",4324,1887,"gustaer92",NA,NA,NA,NA,NA,"1992-03-14",NA,NA,NA
"4412","D","GUSTAFSSON","ERIK","52 ERIK GUSTAFSSON","ERIK GUSTAFSSON",13350,1887,"gustaer92",0,0,0,19,0,"1992-03-14",NA,NA,NA
"4413","C","GUSTAFSSON","ANTON","[TSN] Anton Gustafsson","ANTON GUSTAFSSON",4325,1888,"gustaan90",0,0,0,0,0,"1990-02-25","6-2","194","L"
"4414","D","GUSTAFSSON","ERIK","[TSN] Erik Gustafsson","ERIK GUSTAFSSON",4326,1889,"gustaer88",0,0,0,0,0,"1988-12-15","5-10","180","L"
"4415","D","GUSTAFSSON","ERIK","[TSN] Erik Gustafsson","ERIK GUSTAFSSON",4327,1889,"gustaer88",0,0,0,0,0,"1988-12-15","5-10","180","L"
"4416","D","GUSTAFSSON","ERIK","[CAP] GUSTAFSSON, ERIK","ERIK GUSTAFSSON",4328,1889,"gustaer88",0,0,0,0,0,"1988-12-15","5-10","180","L"
"4417","D","GUSTAFSSON","ERIK","27 ERIK GUSTAFSSON","ERIK GUSTAFSSON",4329,1889,"gustaer88",0,0,0,3,0,"1988-12-15","5-10","180","L"
"4418","D","GUSTAFSSON","ERIK","26 ERIK GUSTAFSSON","ERIK GUSTAFSSON",4330,1889,"gustaer88",0,0,0,103,0,"1988-12-15","5-10","180","L"
"4419","D","GUSTAFSSON","ERIK","29 ERIK GUSTAFSSON","ERIK GUSTAFSSON",4331,1889,"gustaer88",0,0,0,27,0,"1988-12-15","5-10","180","L"
"4420","G","GUSTAFSSON","JOHAN","[TSN] Johan Gustafsson","JOHAN GUSTAFSSON",4332,1890,"gustajo92",0,0,0,0,0,"1992-02-28","6-2","206","L"
"4421","G","GUSTAFSSON","JOHAN","[CAP] GUSTAFSSON, JOHAN","JOHAN GUSTAFSSON",4333,1890,"gustajo92",0,0,0,0,0,"1992-02-28","6-2","206","L"
"4422","G","GUSTAFSSON","JOHAN","31 JOHAN GUSTAFSSON","JOHAN GUSTAFSSON",4334,1890,"gustajo92",0,0,0,0,18,"1992-02-28","6-2","206","L"
"4423","G","GUSTAVSSON","JONAS","[TSN] Jonas Gustavsson","JONAS GUSTAVSSON",4335,1891,"gustajo84",0,0,0,0,0,"1984-10-24","6-3","192","L"
"4424","G","GUSTAVSSON","JONAS","[CAP] GUSTAFSSON, JONAS","JONAS GUSTAVSSON",4336,1891,"gustajo84",0,0,0,0,0,"1984-10-24","6-3","192","L"
"4425","G","GUSTAVSSON","JONAS","50 JONAS GUSTAVSSON","JONAS GUSTAVSSON",4337,1891,"gustajo84",0,0,0,0,471,"1984-10-24","6-3","192","L"
"4426","C","GUTHRIE","SHEA","[TSN] Shea Guthrie","SHEA GUTHRIE",4338,1892,"guthrsh87",0,0,0,0,0,"1987-07-30","6-0","200","R"
"4427","R","GUTIERREZ","MOISES","[TSN] Moises Gutierrez","MOISES GUTIERREZ",4339,1893,"gutiemo86",0,0,0,0,0,"1986-07-20","6-3","201","R"
"4428","C","GUYER","GINO","[TSN] Gino Guyer","GINO GUYER",4340,1894,"guyergi83",0,0,0,0,0,"1983-10-14","5-10","184","L"
"4429","C","GWIDT","BRENT","[TSN] Brent Gwidt","BRENT GWIDT",4341,1895,"gwidtbr88",0,0,0,0,0,"1988-02-20","6-2","198","L"
"4430","D","GYSBERS","SIMON","[TSN] Simon Gysbers","SIMON GYSBERS",4342,1896,"gysbesi87",0,0,0,0,0,"1987-05-07","6-4","200","R"
"4431","D","HAAKANA","KARI","[TSN] Kari Haakana","KARI HAAKANA",4343,1897,"haakaka73",0,0,0,0,0,"1973-11-08","6-1","222","L"
"4432","D","HAAKANA","KARI","29 KARI HAAKANA","KARI HAAKANA",4344,1897,"haakaka73",0,0,0,8,0,"1973-11-08","6-1","222","L"
"4433","R","HAAPALA","HENRIK","[TSN] Henrik Haapala","HENRIK HAAPALA",4345,1898,"haapahe94",0,0,0,0,0,"1994-02-28","5-9","156","L"
"4434","D","HAAR","GARRETT","[TSN] Garrett Haar","GARRETT HAAR",4346,1899,"haarxga93",0,0,0,0,0,"1993-08-16","5-11","194","L"
"4435","D","HAAR","GARRETT","[CAP] HAAR, GARRETT","GARRETT HAAR",4347,1899,"haarxga93",0,0,0,0,0,"1993-08-16","5-11","194","L"
"4436","D","HACHE","JUSTIN","[TSN] Justin Hache","JUSTIN HACHE",4348,1900,"hacheju94",0,0,0,0,0,"1994-01-10","6-1","188","L"
"4437","D","HACHE","JUSTIN","[CAP] HACHE, JUSTIN","JUSTIN HACHE",4349,1900,"hacheju94",0,0,0,0,0,"1994-01-10","6-1","188","L"
"4438","R","HACKERT","MICHAEL","[TSN] Michael Hackert","MICHAEL HACKERT",4350,1901,"hackemi81",0,0,0,0,0,"1981-06-21","6-0","187","L"
"4439","G","HACKETT","JEFF","[TSN] Jeff Hackett","JEFF HACKETT",4351,1902,"hackeje68",0,0,0,0,0,"1968-06-01","6-1","198","L"
"4440","G","HACKETT","JEFF","31 JEFF HACKETT","JEFF HACKETT",4352,1902,"hackeje68",0,0,0,0,41,"1968-06-01","6-1","198","L"
"4441","G","HACKETT","JEFF","30 JEFF HACKETT","JEFF HACKETT",4353,1902,"hackeje68",0,0,0,0,28,"1968-06-01","6-1","198","L"
"4442","G","HACKETT","JEFF","33 JEFF HACKETT","JEFF HACKETT",4354,1902,"hackeje68",0,0,0,0,47,"1968-06-01","6-1","198","L"
"4443","G","HACKETT","MATT","[TSN] Matt Hackett","MATT HACKETT",4355,1903,"hackema90",0,0,0,0,0,"1990-03-07","6-2","173","L"
"4444","G","HACKETT","MATT","[CAP] HACKETT, MATTHEW","MATT HACKETT",4356,1903,"hackema90",0,0,0,0,0,"1990-03-07","6-2","173","L"
"4445","G","HACKETT","MATT","31 MATT HACKETT","MATT HACKETT",4357,1903,"hackema90",0,0,0,0,92,"1990-03-07","6-2","173","L"
"4446","R","HADDAD","JOEY","[TSN] Joey Haddad","JOEY HADDAD",4358,1904,"haddajo88",0,0,0,0,0,"1988-12-10","6-2","200","L"
"4447","D","HAFNER","PETER","[TSN] Peter Hafner","PETER HAFNER",4359,1905,"hafnepe83",0,0,0,0,0,"1983-07-26","6-5","195","R"
"4448","F","Hagel","Marc","[CAP] Marc Hagel","Marc Hagel",4360,1906,"hagelma88",NA,NA,NA,NA,NA,"1988-09-02",NA,NA,NA
"4449","DL","HAGEL","KYLE","[TSN] Kyle Hagel","KYLE HAGEL",4361,1907,"hagelky85",0,0,0,0,0,"1985-01-21","6-0","210","L"
"4450","L","HAGELIN","CARL","[TSN] Carl Hagelin","CARL HAGELIN",4362,1908,"hagelca88",0,0,0,0,0,"1988-08-23","5-11","186","L"
"4451","L","HAGELIN","CARL","[CAP] HAGELIN, CARL","CARL HAGELIN",4363,1908,"hagelca88",0,0,0,0,0,"1988-08-23","5-11","186","L"
"4452","L","HAGELIN","CARL","62 CARL HAGELIN","CARL HAGELIN",4364,1908,"hagelca88",0,542,0,0,0,"1988-08-23","5-11","186","L"
"4453","L","HAGELIN","CARL","26 CARL HAGELIN","CARL HAGELIN",13305,1908,"hagelca88",0,43,0,0,0,"1988-08-23","5-11","186","L"
"4454","D","HAGEMO","NATE","[TSN] Nate Hagemo","NATE HAGEMO",4365,1909,"hagemna86",0,0,0,0,0,"1986-10-08","5-11","192","R"
"4455","D","HAGG","ROBERT","[TSN] Robert Hagg","ROBERT HAGG",4366,1910,"haggxro95",0,0,0,0,0,"1995-02-08","6-2","204","L"
"4456","D","HAGG","ROBERT","[CAP] HAGG, ROBERT","ROBERT HAGG",4367,1910,"haggxro95",0,0,0,0,0,"1995-02-08","6-2","204","L"
"4457","R","HAGGERTY","RYAN","[TSN] Ryan Haggerty","RYAN HAGGERTY",4368,1911,"haggery93",0,0,0,0,0,"1993-03-04","6-0","180","R"
"4458","R","HAGGERTY","RYAN","[CAP] HAGGERTY, RYAN","RYAN HAGGERTY",4369,1911,"haggery93",0,0,0,0,0,"1993-03-04","6-0","180","R"
"4459","L","HAGGERTY","SEAN","[TSN] Sean Haggerty","SEAN HAGGERTY",4370,1912,"haggese76",0,0,0,0,0,"1976-02-11","6-1","186","L"
"4460","LR","HAGMAN","NIKLAS","[TSN] Niklas Hagman","NIKLAS HAGMAN",4371,1913,"hagmani79",0,0,0,0,0,"1979-12-05","5-10","205","L"
"4461","LR","HAGMAN","NIKLAS","14 NIKLAS HAGMAN","NIKLAS HAGMAN",4372,1913,"hagmani79",0,174,0,0,0,"1979-12-05","5-10","205","L"
"4462","LR","HAGMAN","NIKLAS","15 NIKLAS HAGMAN","NIKLAS HAGMAN",4373,1913,"hagmani79",0,247,0,0,0,"1979-12-05","5-10","205","L"
"4463","LR","HAGMAN","NIKLAS","9 NIKLAS HAGMAN","NIKLAS HAGMAN",4374,1913,"hagmani79",0,119,0,0,0,"1979-12-05","5-10","205","L"
"4464","LR","HAGMAN","NIKLAS","11 NIKLAS HAGMAN","NIKLAS HAGMAN",4375,1913,"hagmani79",0,26,0,0,0,"1979-12-05","5-10","205","L"
"4465","LR","HAGMAN","NIKLAS","10 NIKLAS HAGMAN","NIKLAS HAGMAN",4376,1913,"hagmani79",0,79,0,0,0,"1979-12-05","5-10","205","L"
"4466","LR","HAGMAN","NIKLAS","12 NIKLAS HAGMAN","NIKLAS HAGMAN",4377,1913,"hagmani79",0,63,0,0,0,"1979-12-05","5-10","205","L"
"4467","C","HAGOS","YARED","[TSN] Yared Hagos","YARED HAGOS",4378,1914,"hagosya83",0,0,0,0,0,"1983-03-27","6-1","202","L"
"4468","CL","HAHL","RIKU","[TSN] Riku Hahl","RIKU HAHL",4379,1915,"hahlxri80",0,0,0,0,0,"1980-11-01","6-1","205","L"
"4469","CL","HAHL","RIKU","32 RIKU HAHL","RIKU HAHL",4380,1915,"hahlxri80",83,0,0,0,0,"1980-11-01","6-1","205","L"
"4470","D","HAINSEY","RON","[TSN] Ron Hainsey","RON HAINSEY",4381,1916,"hainsro81",0,0,0,0,0,"1981-03-24","6-3","210","L"
"4471","D","HAINSEY","RON","[CAP] HAINSEY, RON","RON HAINSEY",4382,1916,"hainsro81",0,0,0,0,0,"1981-03-24","6-3","210","L"
"4472","D","HAINSEY","RON","65 RON HAINSEY","RON HAINSEY",4383,1916,"hainsro81",0,0,0,404,0,"1981-03-24","6-3","210","L"
"4473","D","HAINSEY","RON","6 RON HAINSEY","RON HAINSEY",4384,1916,"hainsro81",0,0,0,558,0,"1981-03-24","6-3","210","L"
"4474","D","HAJT","CHRIS","[TSN] Chris Hajt","CHRIS HAJT",4385,1917,"hajtxch78",0,0,0,0,0,"1978-07-05","6-3","206","L"
"4475","D","HAJT","CHRIS","75 CHRIS HAJT","CHRIS HAJT",4386,1917,"hajtxch78",0,0,0,5,0,"1978-07-05","6-3","206","L"
"4476","D","HAKANPAA","JANI","[TSN] Jani Hakanpaa","JANI HAKANPAA",4387,1918,"hakanja92",0,0,0,0,0,"1992-03-31","6-5","218","R"
"4477","D","HAKANPAA","JANI","[CAP] HAKANPAA, JANI","JANI HAKANPAA",4388,1918,"hakanja92",0,0,0,0,0,"1992-03-31","6-5","218","R"
"4478","G","HALAK","JAROSLAV","[TSN] Jaroslav Halak","JAROSLAV HALAK",4389,1919,"halakja85",0,0,0,0,0,"1985-05-13","5-10","186","L"
"4479","G","HALAK","JAROSLAV","[CAP] HALAK, JAROSLAV","JAROSLAV HALAK",4390,1919,"halakja85",0,0,0,0,0,"1985-05-13","5-10","186","L"
"4480","G","HALAK","JAROSLAV","41 JAROSLAV HALAK","JAROSLAV HALAK",4391,1919,"halakja85",0,0,0,0,802,"1985-05-13","5-10","186","L"
"4481","D","HALE","DAVID","[TSN] David Hale","DAVID HALE",4392,1920,"halexda81",0,0,0,0,0,"1981-06-18","6-1","218","L"
"4482","D","HALE","DAVID","25 DAVID HALE","DAVID HALE",4393,1920,"halexda81",0,0,0,65,0,"1981-06-18","6-1","218","L"
"4483","D","HALE","DAVID","2 DAVID HALE","DAVID HALE",4394,1920,"halexda81",0,0,0,89,0,"1981-06-18","6-1","218","L"
"4484","D","HALE","DAVID","21 DAVID HALE","DAVID HALE",4395,1920,"halexda81",0,0,0,164,0,"1981-06-18","6-1","218","L"
"4485","D","HALE","DAVID","36 DAVID HALE","DAVID HALE",4396,1920,"halexda81",0,0,0,25,0,"1981-06-18","6-1","218","L"
"4486","LR","HALEY","MICHEAL","[TSN] Micheal Haley","MICHEAL HALEY",4397,1921,"haleymi86",0,0,0,0,0,"1986-03-30","5-10","205","L"
"4487","LR","HALEY","MICHEAL","[CAP] HALEY, MICHEAL","MICHEAL HALEY",4398,1921,"haleymi86",0,0,0,0,0,"1986-03-30","5-10","205","L"
"4488","LR","HALEY","MICHEAL","59 MICHEAL HALEY","MICHEAL HALEY",4399,1921,"haleymi86",29,0,0,0,0,"1986-03-30","5-10","205","L"
"4489","LR","HALEY","MICHEAL","18 MICHEAL HALEY","MICHEAL HALEY",4400,1921,"haleymi86",14,0,0,0,0,"1986-03-30","5-10","205","L"
"4490","LR","HALEY","MICHEAL","32 MICHEAL HALEY","MICHEAL HALEY",4401,1921,"haleymi86",11,0,0,0,0,"1986-03-30","5-10","205","L"
"4491","LR","HALEY","MICHEAL","38 MICHEAL HALEY","MICHEAL HALEY",4402,1921,"haleymi86",16,0,0,0,0,"1986-03-30","5-10","205","L"
"4492","RL","HALISCHUK","MATT","[TSN] Matt Halischuk","MATT HALISCHUK",4403,1922,"halisma88",0,0,0,0,0,"1988-06-01","5-11","187","R"
"4493","RL","HALISCHUK","MATT","[CAP] HALISCHUK, MATT","MATT HALISCHUK",4404,1922,"halisma88",0,0,0,0,0,"1988-06-01","5-11","187","R"
"4494","RL","HALISCHUK","MATT","10 MATT HALISCHUK","MATT HALISCHUK",4405,1922,"halisma88",0,0,1,0,0,"1988-06-01","5-11","187","R"
"4495","RL","HALISCHUK","MATT","16 MATT HALISCHUK","MATT HALISCHUK",4406,1922,"halisma88",0,0,20,0,0,"1988-06-01","5-11","187","R"
"4496","RL","HALISCHUK","MATT","24 MATT HALISCHUK","MATT HALISCHUK",4407,1922,"halisma88",0,0,153,0,0,"1988-06-01","5-11","187","R"
"4497","RL","HALISCHUK","MATT","15 MATT HALISCHUK","MATT HALISCHUK",4408,1922,"halisma88",0,0,201,0,0,"1988-06-01","5-11","187","R"
"4498","D","HALKO","STEVEN","[TSN] Steven Halko","STEVEN HALKO",4409,1923,"halkost74",0,0,0,0,0,"1974-03-08","6-1","200","R"
"4499","D","HALKO","STEVEN","28 STEVEN HALKO","STEVEN HALKO",4410,1923,"halkost74",0,0,0,1,0,"1974-03-08","6-1","200","R"
"4500","D","HALKO","STEVEN","28 STEVE HALKO","STEVEN HALKO",4411,1923,"halkost74",0,0,0,5,0,"1974-03-08","6-1","200","R"
"4501","RC","HALL","ADAM","[TSN] Adam Hall","ADAM HALL",4412,1924,"hallxad80",0,0,0,0,0,"1980-08-14","6-2","212","R"
"4502","RC","HALL","ADAM","18 ADAM HALL","ADAM HALL",4413,1924,"hallxad80",0,0,797,0,0,"1980-08-14","6-2","212","R"
"4503","RC","HALL","ADAM","28 ADAM HALL","ADAM HALL",4414,1924,"hallxad80",0,0,19,0,0,"1980-08-14","6-2","212","R"
"4504","L","HALL","TAYLOR","[TSN] Taylor Hall","TAYLOR HALL",4415,1925,"hallxta91",0,0,0,0,0,"1991-11-14","6-1","201","L"
"4505","L","HALL","TAYLOR","[CAP] HALL, TAYLOR","TAYLOR HALL",4416,1925,"hallxta91",0,0,0,0,0,"1991-11-14","6-1","201","L"
"4506","L","HALL","TAYLOR","4 TAYLOR HALL","TAYLOR HALL",4417,1925,"hallxta91",0,478,0,0,0,"1991-11-14","6-1","201","L"
"4507","C","HALL","ZACH","[TSN] Zach Hall","ZACH HALL",4418,1926,"hallxza93",0,0,0,0,0,"1993-04-29","5-11","172","L"
"4508","D","HALLER","KEVIN","[TSN] Kevin Haller","KEVIN HALLER",4419,1927,"halleke70",0,0,0,0,0,"1970-12-05","6-2","199","L"
"4509","RL","HALMO","MIKE","[TSN] Mike Halmo","MIKE HALMO",4420,1928,"halmomi91",0,0,0,0,0,"1991-05-15","5-10","197","L"
"4510","RL","HALMO","MIKE","[CAP] HALMO, MIKE","MIKE HALMO",4421,1928,"halmomi91",0,0,0,0,0,"1991-05-15","5-10","197","L"
"4511","RL","HALMO","MIKE","43 MIKE HALMO","MIKE HALMO",4422,1928,"halmomi91",0,40,0,0,0,"1991-05-15","5-10","197","L"
"4512","CR","HALPERN","JEFF","[TSN] Jeff Halpern","JEFF HALPERN",4423,1929,"halpeje76",0,0,0,0,0,"1976-05-03","6-0","190","R"
"4513","CR","HALPERN","JEFF","11 JEFF HALPERN","JEFF HALPERN",4424,1929,"halpeje76",500,0,0,0,0,"1976-05-03","6-0","190","R"
"4514","CR","HALPERN","JEFF","22 JEFF HALPERN","JEFF HALPERN",4425,1929,"halpeje76",22,0,0,0,0,"1976-05-03","6-0","190","R"
"4515","CR","HALPERN","JEFF","15 JEFF HALPERN","JEFF HALPERN",4426,1929,"halpeje76",177,0,0,0,0,"1976-05-03","6-0","190","R"
"4516","CR","HALPERN","JEFF","24 JEFF HALPERN","JEFF HALPERN",4427,1929,"halpeje76",19,0,0,0,0,"1976-05-03","6-0","190","R"
"4517","CR","HALPERN","JEFF","14 JEFF HALPERN","JEFF HALPERN",4428,1929,"halpeje76",138,0,0,0,0,"1976-05-03","6-0","190","R"
"4518","G","HALVERSON","BRANDON","[TSN] Brandon Halverson","BRANDON HALVERSON",4429,1930,"halvebr96",0,0,0,0,0,"1996-03-29","6-4","176","L"
"4519","G","HALVERSON","BRANDON","[CAP] HALVERSON, BRANDON","BRANDON HALVERSON",4430,1930,"halvebr96",0,0,0,0,0,"1996-03-29","6-4","176","L"
"4520","D","HAMBLY","TIM","[TSN] Tim Hambly","TIM HAMBLY",4431,1931,"hamblti83",0,0,0,0,0,"1983-06-23","6-0","185","L"
"4521","R","HAMBURG","ANTHONY","[TSN] Anthony Hamburg","ANTHONY HAMBURG",4432,1932,"hambuan91",0,0,0,0,0,"1991-08-30","6-1","185","R"
"4522","L","HAMEL","DENIS","[TSN] Denis Hamel","DENIS HAMEL",4433,1933,"hamelde77",0,0,0,0,0,"1977-05-10","6-1","201","L"
"4523","L","HAMEL","DENIS","55 DENIS HAMEL","DENIS HAMEL",4434,1933,"hamelde77",0,0,23,0,0,"1977-05-10","6-1","201","L"
"4524","L","HAMEL","DENIS","45 DENIS HAMEL","DENIS HAMEL",4435,1933,"hamelde77",0,0,9,0,0,"1977-05-10","6-1","201","L"
"4525","L","HAMEL","DENIS","17 DENIS HAMEL","DENIS HAMEL",4436,1933,"hamelde77",0,0,44,0,0,"1977-05-10","6-1","201","L"
"4526","L","HAMEL","DENIS","12 DENIS HAMEL","DENIS HAMEL",4437,1933,"hamelde77",0,0,3,0,0,"1977-05-10","6-1","201","L"
